成語,常用
一丁不識,false
一不壓眾,false
一不扭眾,false
一世之雄,false
一世龍門,false
一丘一壑,false
一丘之貉,false
一串驪珠,false
一之已甚,false
一之為甚,false
一之謂甚,false
一乾二淨,true
一亂塗地,false
一了百了,false
一了百當,false
一事不知,false
一事無成,false
一五一十,false
一些半些,false
一人之下,false
一人之交,false
一人傳虛,false
一人向隅,false
一人善射,false
一人得道,false
一人有慶,false
一人飛昇,false
一介不取,false
一介不苟,false
一介之善,false
一介之士,false
一介之才,false
一介書生,false
一仍舊貫,false
一代不如,false
一代宗臣,false
一代文宗,false
一代楷模,false
一代談宗,false
一代風流,false
一代鼎臣,false
一以當十,false
一以當百,false
一以貫之,false
一佛出世,false
一來一往,false
一來二去,false
一個半個,false
一個巴掌,false
一個蘿蔔,false
一倡一和,false
一倡三歎,false
一倡百和,false
一偏之見,false
一偏之論,false
一傅眾咻,false
一元大武,false
一元復始,false
一刀兩斷,false
一刀兩段,false
一分一毫,false
一分為二,false
一分耕耘,false
一切眾生,false
一切萬物,false
一刻千金,false
一則以喜,false
一劍之任,false
一力承當,false
一動不如,false
一勞久逸,false
一勞永逸,false
一匡九合,false
一匡天下,false
一十八層,false
一十八般,false
一去不復,false
一反其道,false
一反常態,false
一反既往,false
一口一聲,false
一口三舌,false
一口兩匙,false
一口同聲,false
一口同音,false
一口吸盡,false
一口咬定,false
一吐為快,false
一吟一詠,false
一吠百聲,false
一吹一唱,false
一呵而就,false
一呼再喏,false
一呼百應,false
一呼百諾,false
一命之榮,false
一命嗚呼,false
一命歸西,false
一命歸陰,false
一命鳴呼,false
一品白衫,false
一哄而上,false
一哄而散,false
一哄而起,false
一唱一和,false
一唱三歎,false
一唱百和,false
一問三不,false
一噎止餐,false
一噴一醒,false
一嚬一笑,false
一國三公,false
一團和氣,false
一團漆黑,false
一坐一起,false
一坐皆驚,false
一坐盡傾,false
一坐盡驚,false
一報還一,false
一場春夢,false
一塊石頭,false
一塌刮子,false
一塌糊塗,true
一塵不到,false
一塵不染,false
一塵不緇,false
一壺千金,false
一夔一契,false
一夔已足,false
一夕一朝,false
一夢華胥,false
一天一地,false
一天星斗,false
一夫之勇,false
一夫之用,false
一夫當關,false
一失足成,false
一如既往,false
一子出家,false
一子悟道,false
一孔不達,false
一孔之見,false
一字一句,false
一字一板,false
一字一淚,false
一字一珠,false
一字不易,false
一字不苟,false
一字之師,false
一字兼金,false
一字千秋,false
一字千金,false
一字千鈞,false
一字褒貶,false
一字連城,false
一字長城,false
一字長蛇,false
一官半職,false
一定不易,false
一定不移,false
一定之規,false
一客不煩,false
一室生春,false
一家一火,false
一家一計,false
一家之作,false
一家之學,false
一家之言,false
一家之計,false
一家之辭,false
一家無二,false
一家眷屬,false
一家老小,false
一寒如此,false
一寸丹心,false
一寸光陰,false
一寸赤心,false
一射之地,false
一尺水十,false
一尺水翻,false
一山不藏,false
一差二誤,false
一差二錯,false
一差兩訛,false
一差半錯,false
一己之私,false
一己之見,false
一帆順風,false
一帆風順,true
一席之地,false
一干人犯,false
一年一度,false
一年之計,false
一年半載,false
一床兩好,false
一床錦被,false
一座皆驚,false
一廂情原,false
一廂情願,false
一廉如水,false
一式一樣,false
一弛一張,false
一張一弛,false
一彈指頃,false
一往情深,false
一往無前,false
一往直前,false
一往而深,false
一得之功,false
一得之愚,false
一得之見,false
一德一心,false
一徹萬融,false
一心一力,false
一心一德,false
一心一意,false
一心一腹,false
一心一計,false
一心一路,false
一心同功,false
一心同歸,false
一心同體,false
一心無二,false
一念之差,false
一念之誤,false
一息奄奄,false
一息尚存,false
一悲一喜,false
一意孤行,false
一應俱全,false
一成一旅,false
一成不易,false
一成不變,false
一手一腳,false
一手一足,false
一手包辦,false
一手托天,false
一手獨拍,false
一手遮天,false
一技之長,false
一把死拿,false
一抔黃土,false
一拍即合,false
一掃而光,false
一掃而空,false
一接如舊,false
一推兩搡,false
一揮九制,false
一揮而就,false
一揮而成,false
一搭一檔,false
一搭兩用,false
一擁而上,false
一擁而入,false
一擲乾坤,false
一擲千金,false
一擲百萬,false
一攬包收,false
一支半節,false
一改故轍,false
一敗塗地,false
一敗如水,false
一文不值,false
一文不名,false
一文如命,false
一文錢難,false
一斑半點,false
一斑窺豹,false
一方之任,false
一日三復,false
一日三月,false
一日三歲,false
一日三省,false
一日三秋,false
一日三覆,false
一日不見,false
一日之長,false
一日之雅,false
一日九遷,false
一日千丈,false
一日千里,false
一日萬幾,false
一日萬機,false
一日萬里,false
一旦一夕,false
一星半點,false
一時三刻,false
一時之權,false
一時之秀,false
一時之選,false
一時伯仲,false
一時千載,false
一時半刻,false
一時半晌,false
一時半霎,false
一晦一明,false
一暝不視,false
一暴十寒,false
一曝十寒,false
一曲陽關,false
一望無垠,false
一望無邊,false
一望無際,false
一望而知,false
一朝一夕,false
一朝之忿,false
一朝之患,false
一朝千里,false
一朝天子,false
一朝權在,false
一木難支,false
一本正經,false
一本萬利,false
一板一眼,false
一板三眼,false
一枕南柯,false
一枕槐安,false
一枕邯鄲,false
一枕黃梁,false
一枕黃粱,false
一枝一棲,false
一枝一節,false
一枝之棲,false
一柱承天,false
一柱擎天,false
一根一板,false
一棍子打,false
一棒一條,false
一概而論,false
一榻橫陳,false
一榻糊塗,false
一槌定音,false
一模一樣,false
一模二樣,false
一樹百獲,false
一步一個,false
一步一趨,false
一步一鬼,false
一步登天,false
一歲三遷,false
一歲九遷,false
一歲再赦,false
一歲載赦,false
一死一生,false
一毛不拔,true
一毫不差,false
一毫不染,false
一毫不苟,false
一毫千里,false
一民同俗,false
一氣呵成,false
一氣渾成,false
一決勝負,false
一決雌雄,false
一波三折,false
一波才動,false
一波未平,false
一波萬波,false
一淵不兩,false
一清二楚,false
一清二白,false
一清如水,false
一漿十餅,false
一潭死水,false
一瀉千里,false
一瀉百里,false
一瀉萬里,false
一無可取,false
一無所取,false
一無所得,false
一無所成,false
一無所有,false
一無所求,false
一無所獲,false
一無所知,false
一無所聞,false
一無所能,false
一無所長,false
一無是處,true
一無長物,false
一熏一蕕,false
一片丹心,false
一片冰心,false
一片宮商,false
一片散沙,false
一片汪洋,false
一片焦土,false
一牛九鎖,false
一牛鳴地,false
一物不知,false
一物降一,false
一犬吠形,false
一狐之掖,false
一狐之腋,false
一狠二狠,false
一獻三售,false
一獻三酬,false
一班一級,false
一班一輩,false
一班半點,false
一現曇華,false
一琴一鶴,false
一瓣心香,false
一生一世,false
一生一代,false
一生九死,false
一男半女,false
一畫開天,false
一病不起,false
一發破的,false
一百二十,false
一盤散沙,false
一目之士,false
一目五行,false
一目十行,true
一目數行,false
一目瞭然,false
一相情原,false
一相情願,false
一眨巴眼,false
一瞑不視,false
一矢雙穿,false
一知半見,false
一知半解,true
一知片解,false
一石二鳥,false
一碗水端,false
一碧萬頃,false
一秉大公,false
一秉至公,false
一秉虔誠,false
一空依傍,false
一窮二白,false
一竅不通,true
一笑一顰,false
一笑了之,false
一笑了事,false
一笑傾城,false
一笑千金,false
一笑百媚,false
一笑置之,false
一筆不苟,false
一筆勾斷,false
一筆勾消,false
一筆勾銷,false
一筆抹摋,false
一筆抹殺,false
一筆抹煞,false
一箭上垛,false
一箭之地,false
一箭之遙,false
一箭雙鵰,false
一簞一瓢,false
一簣之功,false
一簧兩舌,false
一籌莫展,false
一紙千金,false
一紙空文,false
一索得男,false
一索成男,false
一統天下,false
一絲一毫,false
一絲不掛,false
一絲不紊,false
一絲不苟,false
一絲兩氣,false
一絲半粟,false
一網打盡,false
一網盡掃,false
一線之路,false
一線生機,false
一緣一會,false
一聞千悟,false
一股腦兒,false
一肢一節,false
一肢半節,false
一脈同氣,false
一脈相傳,false
一脈相承,false
一脈相通,false
一脈香煙,false
一腳不移,false
一臂之力,false
一臥不起,false
一至於斯,false
一至於此,false
一致百慮,false
一舉一動,false
一舉三反,false
一舉兩全,false
一舉兩得,true
一舉千里,false
一舉成名,false
一舉手之,false
一舉萬里,false
一般無二,false
一般見識,false
一花獨放,false
一草一木,false
一落千丈,false
一葉報秋,false
一葉知秋,false
一葉落知,false
一葉迷山,false
一葉障目,false
一著不慎,false
一著被蛇,false
一葦可航,false
一薰一蕕,false
一虎不河,false
一蛇兩頭,false
一蟹不如,false
一行作吏,false
一衣帶水,false
一表人才,false
一表人材,false
一表人物,false
一表堂堂,false
一表非俗,false
一表非凡,false
一褱而論,false
一見了然,false
一見傾心,false
一見如故,false
一見如舊,false
一見鍾情,false
一視同仁,false
一覽無遺,false
一覽無餘,false
一觴一詠,false
一觸即潰,false
一觸即發,false
一言一行,false
一言不發,false
一言中的,false
一言九鼎,false
一言以蔽,false
一言兩語,false
一言千金,false
一言半句,false
一言半語,false
一言半辭,false
一言喪邦,false
一言既出,false
一言為定,false
一言興邦,false
一言難盡,false
一語中人,false
一語中的,false
一語破的,false
一語道破,false
一語雙關,false
一誤再誤,false
一諾千金,false
一諾無辭,false
一謙四益,false
一谷不升,false
一谷不登,false
一貧如洗,true
一資半級,false
一走了之,false
一跌不振,false
一路平安,false
一路神祇,false
一路福星,false
一路貨色,false
一路順風,false
一路風塵,false
一路風清,false
一蹴可幾,false
一蹴而就,false
一蹴而得,false
一蹴而成,false
一蹶不振,false
一蹶不興,false
一身二任,false
一身五心,false
一身兩役,false
一身兩頭,false
一身是膽,false
一身而二,false
一身都是,false
一軌同風,false
一辭同軌,false
一辭莫贊,false
一迎一和,false
一退六二,false
一通百通,false
一還一報,false
一邱之貉,false
一重一掩,false
一針一線,false
一針見血,true
一錘子買,false
一錘定音,false
一錢不值,false
一錢不名,false
一錢不落,false
一錢如命,false
一長一短,false
一長二短,false
一長兩短,false
一長半短,false
一門同氣,false
一門心思,false
一隅三反,false
一隅之地,false
一隅之見,false
一隅之說,false
一階半級,false
一階半職,false
一雕雙兔,false
一雙兩好,false
一雷二閃,false
一面之交,false
一面之款,false
一面之緣,false
一面之詞,false
一面之識,false
一面之辭,false
一面之雅,false
一面如舊,false
一鞭一條,false
一鞭先著,false
一顧傾城,false
一顧千金,false
一顰一笑,false
一飛沖天,false
一飯三吐,false
一飯之德,false
一飯千金,false
一飲一啄,false
一饋十起,false
一饑兩飽,false
一馬一鞍,false
一馬平川,false
一馬當先,false
一體同心,false
一高二低,false
一髮千鈞,false
一鱗一爪,false
一鱗半爪,false
一鱗半甲,false
一鱗片爪,false
一鱗片甲,false
一鳴驚人,false
一麾出守,false
一點一滴,false
一點半點,false
一點靈犀,false
一鼓一板,false
一鼓作氣,false
一鼻子灰,false
一鼻孔出,false
一齊眾楚,false
一龍一蛇,false
一龍一豬,false
七七八八,false
七上八下,false
七上八落,false
七了八當,false
七事八事,false
七十二行,false
七口八嘴,false
七嘴八張,false
七嘴八舌,false
七大八小,false
七子八婿,false
七孔生煙,false
七年之病,false
七張八嘴,false
七彎八拐,false
七情六慾,false
七慌八亂,false
七手八腳,false
七扭八歪,false
七折八扣,false
七拉八扯,false
七拱八翹,false
七拼八湊,false
七推八阻,false
七損八傷,false
七損八益,false
七搭八扯,false
七搭八搭,false
七撈八攘,false
七擒七縱,false
七擔八挪,false
七支八搭,false
七斷八續,false
七日來復,false
七橫八豎,false
七次量衣,false
七步之才,false
七步八叉,false
七步成章,false
七步成詩,false
七歪八扭,false
七死七生,false
七死八活,false
七滿八平,false
七灣八扭,false
七灣八拐,false
七生七死,false
七男八婿,false
七瘡八孔,false
七相五公,false
七破八補,false
七稜八瓣,false
七穿八洞,false
七穿八爛,false
七窩八代,false
七竅冒火,false
七竅玲瓏,false
七竅生煙,false
七縱七擒,false
七縱七禽,false
七縱八橫,false
七老八倒,false
七老八十,false
七腳八手,false
七舌八嘴,false
七行俱下,false
七言八語,false
七貞九烈,false
七足八手,false
七返還丹,false
七鄐八手,false
七長八短,false
七開八得,false
七零八碎,false
七零八落,false
七青八黃,false
七顛八倒,false
七首八腳,false
七高八低,false
丈二和尚,false
三三五五,false
三三兩兩,false
三三四四,false
三下五除,false
三不拗六,false
三五成群,false
三人成虎,false
三人為眾,false
三令五申,false
三位一體,false
三余讀書,false
三個臭皮,false
三六九等,false
三冬二夏,false
三分似人,false
三分像人,false
三分鼎立,false
三分鼎足,false
三十三天,false
三十六策,false
三十六行,false
三十六計,false
三十年河,false
三十而立,false
三占從二,false
三反四覆,false
三句不離,false
三句話不,false
三台八座,false
三吐三握,false
三告投杼,false
三命而俯,false
三回九轉,false
三回五次,false
三墳五典,false
三天兩頭,false
三天打魚,false
三夫之對,false
三夫之言,false
三夫成市,false
三好二怯,false
三好兩歉,false
三好兩歹,false
三妻四妾,false
三姑六婆,false
三婆兩嫂,false
三媒六證,false
三宮六院,false
三寫成烏,false
三寫易字,false
三寸不爛,false
三寸之舌,false
三對六面,false
三屍五鬼,false
三屍暴跳,false
三山五嶽,false
三差五錯,false
三差兩錯,false
三平二滿,false
三年之艾,false
三年五載,false
三年化碧,false
三徙成國,false
三徙成都,false
三從四德,false
三復斯言,false
三復白圭,false
三心二意,false
三心兩意,false
三思而後,false
三思而行,false
三怨成府,false
三戰三北,false
三戶亡秦,false
三折肱為,false
三拳不敵,false
三拳兩腳,false
三推六問,false
三教九流,false
三日打魚,false
三日新婦,false
三旨相公,false
三旬九食,false
三星在天,false
三星在戶,false
三智五猜,false
三更半夜,false
三曹對案,false
三月不知,false
三朋四友,false
三朝五日,false
三朝元老,false
三期賢佞,false
三榜定案,false
三槐九棘,false
三步兩腳,false
三毛七孔,false
三求四告,false
三江七澤,false
三江五湖,false
三沐三熏,false
三沐三薰,false
三浴三釁,false
三清四白,false
三湯五割,false
三湯兩割,false
三災八難,false
三災六難,false
三熏三沐,false
三牲五鼎,false
三獸渡河,false
三班六房,false
三環五扣,false
三瓦兩巷,false
三瓦兩捨,false
三生有幸,false
三番五次,false
三番兩次,false
三疊陽關,false
三病四痛,false
三百六十,false
三百甕齏,false
三皇五帝,false
三盈三虛,false
三省吾身,false
三窩兩塊,false
三等九格,false
三等九般,false
三節兩壽,false
三紙無驢,false
三綱五常,false
三緘其口,false
三翻四復,false
三翻四覆,false
三老五更,false
三老四少,false
三腳兩步,false
三舖八菹,false
三般兩樣,false
三茶六禮,false
三茶六飯,false
三葷五厭,false
三薰三沐,false
三蛇七鼠,false
三街兩市,false
三街六巷,false
三街六市,false
三親六故,false
三親六眷,false
三親四眷,false
三言兩句,false
三言兩語,false
三言訛虎,false
三諫之義,false
三豕涉河,false
三貞九烈,false
三貞五烈,false
三足鼎立,false
三跪九叩,false
三迭陽關,false
三過其門,false
三遷之教,false
三鄰四捨,false
三釁三浴,false
三長兩短,false
三長四短,false
三陽交泰,false
三陽開泰,false
三頭兩日,false
三頭兩緒,false
三頭兩面,false
三頭八臂,false
三頭六臂,false
三頭六證,false
三頭六面,false
三頭對案,false
三顧茅廬,false
三顧草廬,false
三風十愆,false
三饑兩飽,false
三首六臂,false
三馬同槽,false
三魂七魄,false
三魂出竅,false
上下一心,false
上下交困,false
上下其手,false
上下同心,false
上下同欲,false
上下同門,false
上不著天,false
上交不諂,false
上兵伐謀,false
上勤下順,false
上南落北,false
上和下睦,false
上天入地,false
上天無路,false
上好下甚,false
上嫚下暴,false
上情下達,false
上慢下暴,false
上援下推,false
上方不足,false
上方寶劍,false
上智下愚,false
上替下陵,false
上根大器,false
上樑不正,false
上樓去梯,false
上樹拔梯,false
上溢下漏,false
上漏下濕,false
上焌下報,false
上無片瓦,false
上當學乖,false
上竄下跳,false
上竿掇梯,false
上篇上論,false
上蒸下報,false
上行下效,false
上諂下瀆,false
上醫醫國,false
上陵下替,false
上雨旁風,false
下不為例,false
下井投石,false
下喬入幽,false
下喬木入,false
下喬遷谷,false
下回分解,false
下塞上聾,false
下學上達,false
下情上達,false
下愚不移,false
下氣怡聲,false
下氣怡色,false
下筆千言,false
下筆如神,false
下筆成文,false
下筆成章,false
下筆成篇,false
下筆有神,false
下落不明,false
下車之始,false
下車伊始,false
下車作威,false
下車泣罪,false
下逐客令,false
下里巴人,true
下阪走丸,false
下陵上替,false
下馬看花,false
下馬馮婦,false
且住為佳,false
且食蛤蜊,false
世上無難,false
世代書香,false
世俗之見,false
世外桃源,false
世態人情,false
世態炎涼,false
世掌絲綸,false
世擾俗亂,false
世濟其美,false
世異時移,false
世道人心,false
世道人情,false
世風日下,false
丘山之功,false
中冓之言,false
中原逐鹿,false
中外合璧,false
中庸之道,false
中心搖搖,false
中河失舟,false
中流一壺,false
中流失舟,false
中流底柱,false
中流擊楫,false
中流砥柱,false
中立不倚,false
中西合璧,false
中道而廢,false
中飽私囊,false
中饋乏人,false
中饋猶虛,false
丸泥封關,false
主一無適,false
主守自盜,false
主客顛倒,false
主少國疑,false
主情造意,false
主憂臣辱,false
主敬存誠,false
主文譎諫,false
主聖臣良,false
乃心王室,false
乃我困汝,false
乃文乃武,false
乃武乃文,false
久久不忘,false
久假不歸,false
久別重逢,false
久安長治,false
久居人下,false
久慣牢成,false
久慣老誠,false
久懷慕藺,false
久懸不決,false
久旱逢甘,false
久束濕薪,false
久歷風塵,false
久歸道山,false
久病成醫,false
久經風霜,false
久而久之,false
久聞大名,false
久要不忘,false
久負盛名,false
之乎者也,false
之死不渝,false
之死靡二,false
之死靡他,false
之死靡它,false
乍暖還寒,false
乍毛變色,false
乖僻邪謬,false
乖唇蜜舌,false
乖嘴蜜舌,false
乜斜纏帳,false
九世之仇,false
九九歸一,false
九九歸原,false
九五之尊,false
九仞一簣,false
九儒十丐,false
九原可作,false
九合一匡,false
九垓八埏,false
九天九地,false
九天仙女,false
九天攬月,false
九宗七祖,false
九州四海,false
九年之儲,false
九年之蓄,false
九故十親,false
九曲迴腸,false
九死一生,false
九死不悔,false
九死未悔,false
九江八河,false
九泉之下,false
九洲四海,false
九流三教,false
九流人物,false
九流十家,false
九流百家,false
九流賓客,false
